Firmanavn,Kort beskrivelse,Kontakt-e-mail,Logo URL,Forsikringstyper,Medlemskab påkrævet,Region
"Tryg Forsikring","Danmarks største forsikringsselskab med bredt udvalg af privatforsikringer. Tryg er kendt for høj kundeservice og har landsdækkende tilstedeværelse.","kundeservice@tryg.dk","https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Tryg_logo.svg/1024px-Tryg_logo.svg.png","[""bil"",""indbo"",""hus"",""ulykke"",""rejse"",""m.fl.""]","Nej","Hele landet"
"Topdanmark Forsikring","Stort dansk forsikringsselskab (nu en del af If-koncernen) med forsikringer til private og erhvervskunder. Tilbyder mange typer forsikringer og har fokus på digitale løsninger.","kundeservice@topdanmark.dk","https://bornbrand.dk/media/1633/logo_www.png","[""bil"",""hus"",""indbo"",""ulykke"",""erhverv"",""m.fl.""]","Nej","Hele landet"
"Alm. Brand Forsikring","Danmarks næststørste forsikringskoncern, som tilbyder privat- og erhvervsforsikringer. Alm. Brand har overtaget Codan og tilbyder mange forsikringstyper til privatkunder.","kundeservice@almbrand.dk","https://www.forsikringsportalen.dk/wp-content/uploads/2022/02/almbrand.png","[""bil"",""hus"",""indbo"",""ulykke"",""erhverv"",""m.fl.""]","Nej","Hele landet"
"Codan Forsikring","Stort dansk skadeforsikringsselskab (nu del af Alm. Brand-koncernen). Codan tilbyder privat-, erhvervs- og sundhedsforsikringer.","codan@codan.dk","https://www.forsikringsportalen.dk/wp-content/uploads/2022/02/codan.png","[""bil"",""indbo"",""hus"",""ulykke"",""sundhed""]","Nej","Hele landet"
"Gjensidige Forsikring","Norsk forsikringskoncern med filial i Danmark. Tilbyder forsikringer til private, erhverv og landbrug. Kendt for bred dækning og nordisk tilstedeværelse.","info@gjensidige.dk","https://www.forsikringsportalen.dk/wp-content/uploads/2022/02/gjensidige.png","[""bil"",""hus"",""indbo"",""ulykke"",""landbrug"",""m.fl.""]","Nej","Hele landet"
"If Forsikring","Nordisk skadeforsikringsselskab ejet af den finske Sampo-koncern. If har afdelinger i hele Norden og Baltikum og tilbyder privat- og erhvervsforsikringer.","kundeservice@if.dk","https://www.forsikringsportalen.dk/wp-content/uploads/2022/02/if.png","[""bil"",""hus"",""indbo"",""ulykke"",""erhverv"",""m.fl.""]","Nej","Hele landet"
"GF Forsikring","Medlemsejet forsikringsselskab opbygget af lokale forsikringsklubber. GF er kendt for overskudsdeling og lokal tilstedeværelse.","gf@gfforsikring.dk","https://www.forsikringsportalen.dk/wp-content/uploads/2022/02/gf.png","[""bil"",""indbo"",""hus"",""ulykke"",""rejse"",""m.fl.""]","Ja - medlem af lokal forsikringsklub","Hele landet (lokale afdelinger)"
"LB Forsikring (Lærerstandens Brandforsikring)","Medlemsbaseret forsikringsfællesskab for cirka 50 udvalgte faggrupper. LB tilbyder forsikringer til fx lærere, sygeplejersker, læger m.fl. gennem selskaber som Lærerstandens, Bauta og Runa.","kontakt@lb.dk","https://www.forsikringsportalen.dk/wp-content/uploads/2022/02/lb.png","[""bil"",""indbo"",""hus"",""ulykke"",""rejse""]","Ja - kræver tilhør til visse faggrupper","Hele landet"
"Alka Forsikring","Tidligere fagforeningsejet selskab, nu en del af Tryg-koncernen. Tilbyder bl.a. bil-, indbo-, hus-, løn- og ulykkesforsikringer til private.","kunde@alka.dk","https://www.forsikringsportalen.dk/wp-content/uploads/2022/02/alka.png","[""bil"",""indbo"",""hus"",""ulykke"",""rejse"",""m.fl.""]","Nej (tidl. fagforeningsaftaler)","Hele landet"
"FDM Forsikring","Forsikringstilbud til medlemmer af FDM (bilistforening). FDM Forsikring giver bil-, hus-, familie- og rejseforsikringer til særlige medlemspriser.","forsikring@fdm.dk","https://www.forsikringsportalen.dk/wp-content/uploads/2022/02/fdm.png","[""bil"",""hus"",""indbo"",""ulykke"",""rejse""]","Ja - kræver medlemskab af FDM","Hele landet"
"PenSam Forsikring","FOA-ejet forsikringsselskab for PenSam-koncernens pensionskunder. Tilbyder op til 14 forskellige forsikringer for medlemmer med PenSam pension.","forsikring@pensam.dk","https://www.forsikringsportalen.dk/wp-content/uploads/2022/02/pensam.png","[""bil"",""indbo"",""ulykke"",""hus"",""m.fl.""]","Ja - kræver PenSam pensionskunde (typisk FOA-medlem)","Hele landet"
"Sygeforsikringen ""danmark""","Medlemsdrevet sygeforsikring, der giver tilskud til sundhedsudgifter. Kendt for grupper 1, 2, 5 osv. Tilbyder supplement til offentlig sygesikring.","sd@sygeforsikring.dk","https://www.forsikringsportalen.dk/wp-content/uploads/2022/02/sygeforsikring-danmark.png","[""sygesikringstilskud"",""sundhed""]","Ja - kræver medlemskab af Sygeforsikringen ""danmark""","Hele landet"
"Købstædernes Forsikring","Ældste danske forsikringsselskab med rødder i købstæderne. Tilbyder privatforsikringer med lokal forankring og rådgivning.","kf@kfforsikring.dk","https://www.forsikringsportalen.dk/wp-content/uploads/2022/02/kobstaederne.png","[""bil"",""hus"",""indbo"",""ulykke"",""erhverv""]","Nej","Hele landet (hovedkontor i København)"
"Europæiske Rejseforsikring (ERV)","Specialiseret rejseforsikringsselskab, der tilbyder rejse- og afbestillingsforsikringer til private. En del af Europæiske ERV med globalt netværk.","info@erv.dk","https://www.forsikringsportalen.dk/wp-content/uploads/2022/02/europaeiske.png","[""rejse"",""afbestilling"",""årsrejse""]","Nej","Hele landet"
"Dansk Boligforsikring","Forsikringsselskab specialiseret i ejerskifteforsikringer og boligrelaterede forsikringer. Hjælper boligkøbere med at forsikre skjulte skader m.m.","info@danskboligforsikring.dk","https://www.danskboligforsikring.dk/images/logo.png","[""ejerskifte"",""bygning""]","Nej","Hele landet"
"Aros Forsikring","Mindre kundeejet forsikringsselskab med base i Aarhus. Tilbyder privatforsikringer med personlig rådgivning.","post@aros-forsikring.dk","https://www.forsikringsportalen.dk/wp-content/uploads/2022/02/aros.png","[""bil"",""hus"",""indbo"",""ulykke"",""veteranbil""]","Nej","Østjylland (og resten af landet via net)"
"Himmerland Forsikring","Lokalt forankret forsikringsselskab i Himmerland. Tilbyder forsikringer til private og erhverv med kendskab til lokalområdet.","post@himmerland-forsikring.dk","https://www.forsikringsportalen.dk/wp-content/uploads/2022/02/himmerland.png","[""bil"",""hus"",""indbo"",""ulykke"",""landbrug""]","Nej","Nordjylland (Himmerland)"
